locus	primary_accession	accession_version	isolate
QHU36837	QHU36837	QHU36837.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019
QHU36836	QHU36836	QHU36836.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019
QHU36835	QHU36835	QHU36835.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019
QHU36834	QHU36834	QHU36834.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019
QHU36833	QHU36833	QHU36833.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019
QHU36832	QHU36832	QHU36832.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019
QHU36831	QHU36831	QHU36831.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019
QHU36830	QHU36830	QHU36830.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019
QHU36829	QHU36829	QHU36829.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019
QHU36828	QHU36828	QHU36828.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019
QHU36827	QHU36827	QHU36827.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019
QHU36826	QHU36826	QHU36826.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019
QHU36825	QHU36825	QHU36825.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019
QHU36824	QHU36824	QHU36824.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019
QHU36823	QHU36823	QHU36823.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019
QHR93622	QHR93622	QHR93622.1	2019 nCoV/Italy-INMI2
QHR93621	QHR93621	QHR93621.1	2019 nCoV/Italy-INMI1
QHR84457	QHR84457	QHR84457.1	Australia/VIC01/2020
QHR84456	QHR84456	QHR84456.1	Australia/VIC01/2020
QHR84455	QHR84455	QHR84455.1	Australia/VIC01/2020
QHR84454	QHR84454	QHR84454.1	Australia/VIC01/2020
QHR84453	QHR84453	QHR84453.1	Australia/VIC01/2020
QHR84452	QHR84452	QHR84452.1	Australia/VIC01/2020
QHR84451	QHR84451	QHR84451.1	Australia/VIC01/2020
QHR84450	QHR84450	QHR84450.1	Australia/VIC01/2020
QHR84449	QHR84449	QHR84449.1	Australia/VIC01/2020
QHR84448	QHR84448	QHR84448.1	Australia/VIC01/2020
QHR63298	QHR63298	QHR63298.1	WIV07
QHR63297	QHR63297	QHR63297.1	WIV07
QHR63296	QHR63296	QHR63296.1	WIV07
QHR63295	QHR63295	QHR63295.1	WIV07
QHR63294	QHR63294	QHR63294.1	WIV07
QHR63293	QHR63293	QHR63293.1	WIV07
QHR63292	QHR63292	QHR63292.1	WIV07
QHR63291	QHR63291	QHR63291.1	WIV07
QHR63289	QHR63289	QHR63289.1	WIV07
QHR63288	QHR63288	QHR63288.1	WIV06
QHR63287	QHR63287	QHR63287.1	WIV06
QHR63286	QHR63286	QHR63286.1	WIV06
QHR63285	QHR63285	QHR63285.1	WIV06
QHR63284	QHR63284	QHR63284.1	WIV06
QHR63283	QHR63283	QHR63283.1	WIV06
QHR63282	QHR63282	QHR63282.1	WIV06
QHR63281	QHR63281	QHR63281.1	WIV06
QHR63279	QHR63279	QHR63279.1	WIV06
